job,company,city,salary,welfare,exp,edu,job_num,job_url,company_url
Java开发工程师,上海翼得营销策划有限公司,上海,1.5-2万/月,五险一金 绩效奖金 专业培训 定期体检 补充医疗保险 员工旅游 餐饮补贴 通讯补贴 年终奖金,3-4年经验,本科,招1人,https://jobs.51job.com/shanghai/128803010.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2562076.html
Java高级开发工程师,易雪儿科技（武汉）有限公司,武汉-硚口区,0.8-1.5万/月,,2年经验,本科,招5人,https://jobs.51job.com/wuhan-qkq/131874071.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/coA2MCY1I1ATsGYFQxVjo.html
中级java开发工程师(XYWB),杭州珍林网络技术有限公司,杭州-余杭区,1-1.3万/月,员工旅游 餐饮补贴 专业培训 绩效奖金 弹性工作 定期体检 节日福利 五险一金 年终奖金,2年经验,大专,招3人,https://jobs.51job.com/hangzhou-yhq/129358713.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3613470.html
Java开发工程师,哈思曼家居（深圳）有限公司,深圳-南山区,5.5-9千/月,五险一金 员工旅游 交通补贴 餐饮补贴 绩效奖金 年终奖金 弹性工作 定期体检,1年经验,大专,招2人,https://jobs.51job.com/shenzhen-nsq/130086739.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co6416829.html
Java开发工程师,深圳丰速科技有限公司,深圳-宝安区,0.8-1.6万/月,五险一金 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,3-4年经验,本科,招3人,https://jobs.51job.com/shenzhen-baq/107332880.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5240528.html
Java初级开发工程师（芙蓉广场）,湖南新航动力信息科技有限公司,长沙-芙蓉区,6-8千/月,五险一金 交通补贴 年终奖金 周末双休,2年经验,中专,招5人,https://jobs.51job.com/changsha-frq/131876874.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co3758521.html
应用软件开发工程师（高级Java开发工程师）(J10523),北京四方继保自动化股份有限公司,北京-海淀区,2-3万/月,年终奖金 定期体检 周末双休 八险一金 带薪年假 综合补助 过节福利 通讯补贴,5-7年经验,硕士,招1人,https://jobs.51job.com/beijing-hdq/131876730.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co758955.html
Java中级开发工程师,南京睿翊腾信息技术有限公司,南京-秦淮区,0.9-1.3万/月,五险一金 绩效奖金,3-4年经验,大专,招3人,https://jobs.51job.com/nanjing-qhq/122681022.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co2716738.html
java服务端程序（3年经验）,上海姚际信息科技有限公司,上海-徐汇区,1.5-3万/月,五险一金 员工旅游 定期体检 年终奖金 全勤奖 工作餐 带薪年假 小蜜蜂奖 生日福利 节假日福利,3-4年经验,大专,招2人,https://jobs.51job.com/shanghai-xhq/111851795.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co4966010.html
Java开发工程师,深圳爱递医药科技有限公司,深圳-南山区,1-1.5万/月,,3-4年经验,大专,招若干人,https://jobs.51job.com/shenzhen-nsq/131126903.html?s=sou_sou_soulb&t=0,https://jobs.51job.com/all/co5579384.html
